"county","datayear","totalpopulation"
"Adams",2010,443711
"Adams",2011,451749
"Adams",2012,460064
"Adams",2013,469477
"Adams",2014,479777
"Adams",2015,489923
"Adams",2016,497673
"Adams",2017,268764
"Adams",2018,268764
"Adams",2019,268764
"Alamosa",2010,15474
"Alamosa",2011,15679
"Alamosa",2012,15687
"Alamosa",2013,15804
"Alamosa",2014,15845
"Alamosa",2015,15968
"Alamosa",2016,16131
"Alamosa",2017,268764
"Alamosa",2018,268764
"Alamosa",2019,268764
"Arapahoe",2010,574819
"Arapahoe",2011,585507
"Arapahoe",2012,595776
"Arapahoe",2013,607145
"Arapahoe",2014,617936
"Arapahoe",2015,629066
"Arapahoe",2016,637254
"Arapahoe",2017,268764
"Arapahoe",2018,268764
"Arapahoe",2019,268764
"Archuleta",2010,12060
"Archuleta",2011,12003
"Archuleta",2012,12109
"Archuleta",2013,12211
"Archuleta",2014,12258
"Archuleta",2015,12417
"Archuleta",2016,12907
"Archuleta",2017,268764
"Archuleta",2018,268764
"Archuleta",2019,268764
"Baca",2010,3795
"Baca",2011,3799
"Baca",2012,3746
"Baca",2013,3679
"Baca",2014,3624
"Baca",2015,3594
"Baca",2016,3557
"Baca",2017,268764
"Baca",2018,268764
"Baca",2019,268764
"Bent",2010,6506
"Bent",2011,6304
"Bent",2012,5778
"Bent",2013,5708
"Bent",2014,5747
"Bent",2015,5847
"Bent",2016,5626
"Bent",2017,268764
"Bent",2018,268764
"Bent",2019,268764
"Boulder",2010,295605
"Boulder",2011,300171
"Boulder",2012,305016
"Boulder",2013,309971
"Boulder",2014,313190
"Boulder",2015,318570
"Boulder",2016,321989
"Boulder",2017,268764
"Boulder",2018,268764
"Boulder",2019,268764
"Broomfield",2010,56107
"Broomfield",2011,57211
"Broomfield",2012,58715
"Broomfield",2013,59975
"Broomfield",2014,61554
"Broomfield",2015,64656
"Broomfield",2016,66252
"Broomfield",2017,268764
"Broomfield",2018,268764
"Broomfield",2019,268764
"Chaffee",2010,17797
"Chaffee",2011,18012
"Chaffee",2012,18123
"Chaffee",2013,18281
"Chaffee",2014,18459
"Chaffee",2015,18603
"Chaffee",2016,19097
"Chaffee",2017,268764
"Chaffee",2018,268764
"Chaffee",2019,268764
"Cheyenne",2010,1834
